value,qualifiers,dateTime,station,parameter,param_code
14.9,['P'],2026-02-09 04:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.0,['P'],2026-02-09 05:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
14.9,['P'],2026-02-09 05:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.0,['P'],2026-02-09 05:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.0,['P'],2026-02-09 05:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.0,['P'],2026-02-09 06:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.0,['P'],2026-02-09 06:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.0,['P'],2026-02-09 06:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.0,['P'],2026-02-09 06:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.0,['P'],2026-02-09 07:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.0,['P'],2026-02-09 07:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.0,['P'],2026-02-09 07:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.1,['P'],2026-02-09 07:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.0,['P'],2026-02-09 08:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.0,['P'],2026-02-09 08:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.0,['P'],2026-02-09 08:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
14.7,['P'],2026-02-09 08:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
14.8,['P'],2026-02-09 09:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.0,['P'],2026-02-09 09:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.0,['P'],2026-02-09 09:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.0,['P'],2026-02-09 09:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
14.9,['P'],2026-02-09 10:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
14.9,['P'],2026-02-09 10:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
14.8,['P'],2026-02-09 10:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
14.8,['P'],2026-02-09 10:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
14.7,['P'],2026-02-09 11:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
14.8,['P'],2026-02-09 11:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
14.8,['P'],2026-02-09 11:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
14.8,['P'],2026-02-09 11:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
14.8,['P'],2026-02-09 12:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.0,['P'],2026-02-09 12:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.0,['P'],2026-02-09 12:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.0,['P'],2026-02-09 12:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.0,['P'],2026-02-09 13:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.1,['P'],2026-02-09 13:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.1,['P'],2026-02-09 13:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.2,['P'],2026-02-09 13:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.2,['P'],2026-02-09 14:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.3,['P'],2026-02-09 14:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.4,['P'],2026-02-09 14:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.4,['P'],2026-02-09 14:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.5,['P'],2026-02-09 15:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.5,['P'],2026-02-09 15:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.6,['P'],2026-02-09 15:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.6,['P'],2026-02-09 15:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.6,['P'],2026-02-09 16:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.6,['P'],2026-02-09 16:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.7,['P'],2026-02-09 16:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.8,['P'],2026-02-09 16:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
